event-id,visible,timestamp,location-long,location-lat,eobs:battery-voltage,eobs:fix-battery-voltage,eobs:horizontal-accuracy-estimate,eobs:key-bin-checksum,eobs:speed-accuracy-estimate,eobs:start-timestamp,eobs:status,eobs:temperature,eobs:type-of-fix,eobs:used-time-to-get-fix,ground-speed,heading,height-above-ellipsoid,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
3119548871,true,2017-05-21 19:00:00.998,8.9700871,47.7469393,3898,3781,6.4,3633406178,0.82,2017-05-21 17:03:35.000,"A",28,3,0,0.13,138.28,485.7,"gps","Felis catus","3383","20170514_Lio","VTK2017 cats"
3119548872,true,2017-05-21 19:00:01.998,8.9701013,47.7469424,3898,3779,6.14,2247452118,1.5,2017-05-21 17:03:35.000,"A",28,3,0,0.13,144.18,483.7,"gps","Felis catus","3383","20170514_Lio","VTK2017 cats"
3119548873,true,2017-05-21 19:00:02.998,8.9701103,47.746944,3898,3780,6.14,2584213485,0.92,2017-05-21 17:03:35.000,"A",28,3,0,0.05,146.8,482.6,"gps","Felis catus","3383","20170514_Lio","VTK2017 cats"
3119548874,true,2017-05-21 19:00:03.998,8.9701094,47.7469429,3898,3779,5.89,2243475273,0.88,2017-05-21 17:03:35.000,"A",28,3,0,0.07,149.42,482.8,"gps","Felis catus","3383","20170514_Lio","VTK2017 cats"
3119548875,true,2017-05-21 19:00:04.998,8.9701096,47.7469433,3898,3781,5.89,3440284626,0.86,2017-05-21 17:03:35.000,"A",28,3,0,0.0,149.42,483.3,"gps","Felis catus","3383","20170514_Lio","VTK2017 cats"
3119548876,true,2017-05-21 19:00:05.998,8.970122,47.7469471,3898,3779,5.63,3130264122,0.8,2017-05-21 17:03:35.000,"A",28,3,0,0.16,144.18,482.3,"gps","Felis catus","3383","20170514_Lio","VTK2017 cats"
3119548877,true,2017-05-21 19:00:06.998,8.9701248,47.7469495,3898,3779,5.38,2002223268,0.86,2017-05-21 17:03:35.000,"A",28,3,0,0.12,138.94,483.4,"gps","Felis catus","3383","20170514_Lio","VTK2017 cats"
3119548878,true,2017-05-21 19:00:07.998,8.9701284,47.7469536,3898,3779,5.38,4032207296,0.85,2017-05-21 17:03:35.000,"A",28,3,0,0.24,134.35,485.6,"gps","Felis catus","3383","20170514_Lio","VTK2017 cats"
3119548879,true,2017-05-21 19:00:08.998,8.9701279,47.7469582,3898,3780,5.38,2675502991,0.82,2017-05-21 17:03:35.000,"A",28,3,0,0.19,129.76,489.8,"gps","Felis catus","3383","20170514_Lio","VTK2017 cats"
3119548880,true,2017-05-21 19:00:09.998,8.9701423,47.7469657,3898,3779,5.12,901571972,0.8,2017-05-21 17:03:35.000,"A",28,3,0,0.23,125.17,490.3,"gps","Felis catus","3383","20170514_Lio","VTK2017 cats"
3119548881,true,2017-05-21 19:00:10.998,8.9701526,47.746971,3898,3780,5.12,2153762796,0.8,2017-05-21 17:03:35.000,"A",28,3,0,0.24,121.24,490.4,"gps","Felis catus","3383","20170514_Lio","VTK2017 cats"
3119548882,true,2017-05-21 19:00:11.998,8.9701548,47.7469728,3898,3780,5.12,104878306,0.8,2017-05-21 17:03:35.000,"A",28,3,0,0.21,117.96,490.8,"gps","Felis catus","3383","20170514_Lio","VTK2017 cats"
3119548883,true,2017-05-21 19:00:12.998,8.9701571,47.7469739,3898,3781,4.86,3210540594,0.8,2017-05-21 17:03:35.000,"A",28,3,0,0.2,114.03,490.9,"gps","Felis catus","3383","20170514_Lio","VTK2017 cats"
3119548884,true,2017-05-21 19:00:13.998,8.9701577,47.7469741,3898,3781,4.86,2672930596,0.8,2017-05-21 17:03:35.000,"A",28,3,0,0.23,110.76,491.1,"gps","Felis catus","3383","20170514_Lio","VTK2017 cats"
3119548885,true,2017-05-21 19:00:14.998,8.970159,47.7469744,3898,3779,4.86,3773735710,0.8,2017-05-21 17:03:35.000,"A",28,3,0,0.18,108.13,491.1,"gps","Felis catus","3383","20170514_Lio","VTK2017 cats"
3119548886,true,2017-05-21 19:00:15.998,8.9701633,47.7469749,3898,3779,4.86,4066841060,0.8,2017-05-21 17:03:35.000,"A",28,3,0,0.16,105.51,490.7,"gps","Felis catus","3383","20170514_Lio","VTK2017 cats"
3119548887,true,2017-05-21 19:00:16.998,8.9701665,47.7469754,3898,3779,5.12,1523886594,0.81,2017-05-21 17:03:35.000,"A",28,3,0,0.2,102.24,490.3,"gps","Felis catus","3383","20170514_Lio","VTK2017 cats"
3119548888,true,2017-05-21 19:00:17.998,8.9701674,47.7469744,3898,3779,5.12,1915000334,0.82,2017-05-21 17:03:35.000,"A",28,3,0,0.26,100.27,490.1,"gps","Felis catus","3383","20170514_Lio","VTK2017 cats"
3119548889,true,2017-05-21 19:00:18.998,8.9701777,47.7469771,3898,3780,4.86,2217355514,0.8,2017-05-21 17:03:35.000,"A",28,3,0,0.26,97.65,488.8,"gps","Felis catus","3383","20170514_Lio","VTK2017 cats"
