event-id,visible,timestamp,location-long,location-lat,eobs:battery-voltage,eobs:fix-battery-voltage,eobs:horizontal-accuracy-estimate,eobs:key-bin-checksum,eobs:speed-accuracy-estimate,eobs:start-timestamp,eobs:status,eobs:temperature,eobs:type-of-fix,eobs:used-time-to-get-fix,ground-speed,heading,height-above-ellipsoid,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
3110635975,true,2017-05-19 19:03:00.001,9.1999204,47.6870831,3959,3847,8.19,472409861,2.61,2017-05-19 18:28:34.000,"A",30,3,0,0.26,57.02,504.1,"gps","Felis catus","3381","20170519_Lissy","VTK2017 cats"
3110635976,true,2017-05-19 19:03:01.001,9.1999193,47.6870939,3959,3847,8.19,1574453809,2.76,2017-05-19 18:28:34.000,"A",30,3,0,0.36,53.74,504.4,"gps","Felis catus","3381","20170519_Lissy","VTK2017 cats"
3110635977,true,2017-05-19 19:03:02.001,9.1999263,47.6871347,3959,3847,8.19,3198476507,2.64,2017-05-19 18:28:34.000,"A",30,3,0,0.83,48.5,508.4,"gps","Felis catus","3381","20170519_Lissy","VTK2017 cats"
3110635978,true,2017-05-19 19:03:03.001,9.1999253,47.6871651,3959,3847,8.7,3820553242,3.34,2017-05-19 18:28:34.000,"A",30,3,0,0.99,44.56,511.9,"gps","Felis catus","3381","20170519_Lissy","VTK2017 cats"
3110635979,true,2017-05-19 19:03:04.001,9.1999246,47.6871763,3959,3848,9.47,2751293012,4.55,2017-05-19 18:28:34.000,"A",30,3,0,0.84,39.98,513.3,"gps","Felis catus","3381","20170519_Lissy","VTK2017 cats"
3110635980,true,2017-05-19 19:03:05.001,9.1999294,47.68717,3959,3847,9.47,2923246114,4.14,2017-05-19 18:28:34.000,"A",30,3,0,0.72,42.6,513.6,"gps","Felis catus","3381","20170519_Lissy","VTK2017 cats"
3110635981,true,2017-05-19 19:03:06.001,9.1999303,47.6871625,3959,3843,9.73,3240761730,3.61,2017-05-19 18:28:34.000,"A",30,3,0,0.18,47.84,513.5,"gps","Felis catus","3381","20170519_Lissy","VTK2017 cats"
3110635982,true,2017-05-19 19:03:07.001,9.1999264,47.6871429,3959,3847,9.73,56147117,4.0,2017-05-19 18:28:34.000,"A",30,3,0,0.74,57.02,512.8,"gps","Felis catus","3381","20170519_Lissy","VTK2017 cats"
3110635983,true,2017-05-19 19:03:08.001,9.199928,47.6871367,3959,3847,9.47,2503788417,3.36,2017-05-19 18:28:34.000,"A",30,3,0,0.43,63.57,513.2,"gps","Felis catus","3381","20170519_Lissy","VTK2017 cats"
3110635984,true,2017-05-19 19:03:09.001,9.1999303,47.6871281,3959,3847,9.47,1331666935,3.82,2017-05-19 18:28:34.000,"A",30,3,0,0.17,65.54,512.5,"gps","Felis catus","3381","20170519_Lissy","VTK2017 cats"
3110635985,true,2017-05-19 19:03:10.001,9.1999387,47.6871291,3959,3847,8.45,3315359000,3.88,2017-05-19 18:28:34.000,"A",30,3,0,1.51,72.74,511.4,"gps","Felis catus","3381","20170519_Lissy","VTK2017 cats"
3110635986,true,2017-05-19 19:03:11.001,9.1999319,47.6870903,3959,3848,7.17,4248195674,1.91,2017-05-19 18:28:34.000,"A",30,3,0,0.62,76.68,506.8,"gps","Felis catus","3381","20170519_Lissy","VTK2017 cats"
3110635987,true,2017-05-19 19:03:12.001,9.1999308,47.6870844,3959,3847,6.91,1488755609,1.09,2017-05-19 18:28:34.000,"A",30,3,0,0.84,83.23,505.5,"gps","Felis catus","3381","20170519_Lissy","VTK2017 cats"
3110635988,true,2017-05-19 19:03:13.001,9.1999384,47.6870799,3959,3847,7.17,2034989287,3.5,2017-05-19 18:28:34.000,"A",30,3,0,0.5,90.44,505.5,"gps","Felis catus","3381","20170519_Lissy","VTK2017 cats"
3110635989,true,2017-05-19 19:03:14.001,9.1999308,47.6870832,3959,3847,8.19,3498477797,4.81,2017-05-19 18:28:34.000,"A",30,3,0,0.96,80.61,505.2,"gps","Felis catus","3381","20170519_Lissy","VTK2017 cats"
3110635990,true,2017-05-19 19:03:15.001,9.1999222,47.6870835,3959,3847,9.98,1910886193,5.13,2017-05-19 18:28:34.000,"A",30,3,0,0.69,70.12,504.6,"gps","Felis catus","3381","20170519_Lissy","VTK2017 cats"
3110635991,true,2017-05-19 19:03:16.001,9.1999234,47.6870713,3959,3847,10.24,3336639438,4.43,2017-05-19 18:28:34.000,"A",30,3,0,0.49,74.71,503.3,"gps","Felis catus","3381","20170519_Lissy","VTK2017 cats"
3110635992,true,2017-05-19 19:03:17.001,9.199927,47.6870719,3959,3845,9.47,3424590830,4.22,2017-05-19 18:28:34.000,"A",30,3,0,0.63,70.12,502.3,"gps","Felis catus","3381","20170519_Lissy","VTK2017 cats"
3110635993,true,2017-05-19 19:03:18.001,9.1999293,47.6870695,3959,3848,9.47,2298618940,4.22,2017-05-19 18:28:34.000,"A",30,3,0,0.46,64.88,500.6,"gps","Felis catus","3381","20170519_Lissy","VTK2017 cats"
3110635994,true,2017-05-19 19:03:19.001,9.1999323,47.6870686,3959,3847,9.98,2718483579,3.66,2017-05-19 18:28:34.000,"A",30,3,0,0.1,55.05,499.3,"gps","Felis catus","3381","20170519_Lissy","VTK2017 cats"
3110635995,true,2017-05-19 19:03:20.001,9.1999427,47.6870626,3959,3843,10.24,3638913693,2.6,2017-05-19 18:28:34.000,"A",30,3,0,0.63,61.6,498.2,"gps","Felis catus","3381","20170519_Lissy","VTK2017 cats"
3110635996,true,2017-05-19 19:03:21.001,9.1999479,47.6870518,3959,3847,10.5,4190566615,3.29,2017-05-19 18:28:34.000,"A",30,3,0,1.77,153.35,497.4,"gps","Felis catus","3381","20170519_Lissy","VTK2017 cats"
3110635997,true,2017-05-19 19:03:22.001,9.1999496,47.6870379,3959,3845,11.01,3497170549,3.69,2017-05-19 18:28:34.000,"A",30,3,0,1.35,152.7,495.6,"gps","Felis catus","3381","20170519_Lissy","VTK2017 cats"
3110635998,true,2017-05-19 19:03:23.001,9.1999634,47.6870102,3959,3847,11.26,2747376905,4.84,2017-05-19 18:28:34.000,"A",30,3,0,1.89,169.74,494.1,"gps","Felis catus","3381","20170519_Lissy","VTK2017 cats"
3110635999,true,2017-05-19 19:03:24.001,9.1999639,47.6869935,3959,3847,12.03,2116527685,4.31,2017-05-19 18:28:34.000,"A",30,3,0,2.12,185.47,493.0,"gps","Felis catus","3381","20170519_Lissy","VTK2017 cats"
3110636000,true,2017-05-19 19:03:25.001,9.1999672,47.6869789,3959,3847,13.06,842500239,5.12,2017-05-19 18:28:34.000,"A",30,3,0,1.97,161.22,492.0,"gps","Felis catus","3381","20170519_Lissy","VTK2017 cats"
3110636001,true,2017-05-19 19:03:26.001,9.1999751,47.6869516,3959,3847,14.34,1212196925,5.77,2017-05-19 18:28:34.000,"A",30,3,0,2.55,167.12,495.9,"gps","Felis catus","3381","20170519_Lissy","VTK2017 cats"
3110636002,true,2017-05-19 19:03:27.001,9.1999586,47.6869545,3959,3847,20.99,3352324842,6.57,2017-05-19 18:28:34.000,"A",30,3,0,2.36,205.78,495.1,"gps","Felis catus","3381","20170519_Lissy","VTK2017 cats"
3110636003,true,2017-05-19 19:03:28.001,9.1999429,47.6869615,3959,3847,14.08,3904867943,4.19,2017-05-19 18:28:34.000,"A",30,3,0,1.14,236.58,494.1,"gps","Felis catus","3381","20170519_Lissy","VTK2017 cats"
3110636004,true,2017-05-19 19:03:29.001,9.1999405,47.6869463,3959,3847,14.34,2722775194,4.15,2017-05-19 18:28:34.000,"A",30,3,0,1.36,192.02,491.7,"gps","Felis catus","3381","20170519_Lissy","VTK2017 cats"
3110636005,true,2017-05-19 19:03:30.001,9.199934,47.6869229,3959,3847,13.82,3471853088,4.31,2017-05-19 18:28:34.000,"A",30,3,0,1.15,210.37,489.0,"gps","Felis catus","3381","20170519_Lissy","VTK2017 cats"
3110636006,true,2017-05-19 19:03:31.001,9.1999252,47.6869162,3959,3847,13.06,3211194521,4.7,2017-05-19 18:28:34.000,"A",30,3,0,1.0,211.03,487.2,"gps","Felis catus","3381","20170519_Lissy","VTK2017 cats"
3110636007,true,2017-05-19 19:03:32.001,9.1999146,47.6869045,3959,3847,13.82,1423499589,5.23,2017-05-19 18:28:34.000,"A",30,3,0,1.64,209.06,485.8,"gps","Felis catus","3381","20170519_Lissy","VTK2017 cats"
3110636008,true,2017-05-19 19:03:33.001,9.1999416,47.6868943,3959,3845,15.87,2692888950,4.74,2017-05-19 18:28:34.000,"A",30,3,0,2.3,167.12,486.3,"gps","Felis catus","3381","20170519_Lissy","VTK2017 cats"
3110636009,true,2017-05-19 19:03:34.001,9.1999166,47.6869395,3959,3847,8.96,3623978906,3.52,2017-05-19 18:28:34.000,"A",30,3,0,0.86,171.7,494.4,"gps","Felis catus","3381","20170519_Lissy","VTK2017 cats"
3110636010,true,2017-05-19 19:03:35.001,9.1998979,47.6869305,3959,3847,9.22,2159891914,4.7,2017-05-19 18:28:34.000,"A",30,3,0,1.62,204.47,493.9,"gps","Felis catus","3381","20170519_Lissy","VTK2017 cats"
3110636011,true,2017-05-19 19:03:36.001,9.1998884,47.6869181,3959,3847,9.98,607012072,4.17,2017-05-19 18:28:34.000,"A",30,3,0,0.92,205.78,492.7,"gps","Felis catus","3381","20170519_Lissy","VTK2017 cats"
3110636012,true,2017-05-19 19:03:37.001,9.19989,47.6869235,3959,3847,9.47,456633011,4.19,2017-05-19 18:28:34.000,"A",30,3,0,1.02,258.87,492.1,"gps","Felis catus","3381","20170519_Lissy","VTK2017 cats"
3110636013,true,2017-05-19 19:03:38.001,9.1998929,47.6869176,3959,3845,9.22,1429922953,4.61,2017-05-19 18:28:34.000,"A",30,3,0,1.01,226.1,490.7,"gps","Felis catus","3381","20170519_Lissy","VTK2017 cats"
3110636014,true,2017-05-19 19:03:39.001,9.1999315,47.6869061,3959,3845,8.19,4083537435,2.86,2017-05-19 18:28:34.000,"A",30,3,0,0.6,217.58,488.9,"gps","Felis catus","3381","20170519_Lissy","VTK2017 cats"
3110636015,true,2017-05-19 19:03:40.001,9.1999438,47.6869036,3959,3843,7.42,1681610052,1.24,2017-05-19 18:28:34.000,"A",30,3,0,0.59,207.09,486.6,"gps","Felis catus","3381","20170519_Lissy","VTK2017 cats"
3110636016,true,2017-05-19 19:03:41.001,9.1999488,47.6869036,3959,3845,6.91,3941352510,1.2,2017-05-19 18:28:34.000,"A",30,3,0,0.56,196.61,484.8,"gps","Felis catus","3381","20170519_Lissy","VTK2017 cats"
3110636017,true,2017-05-19 19:03:42.001,9.1999398,47.6869011,3959,3847,6.66,2461017092,3.05,2017-05-19 18:28:34.000,"A",30,3,0,0.31,207.09,486.2,"gps","Felis catus","3381","20170519_Lissy","VTK2017 cats"
3110636018,true,2017-05-19 19:03:43.001,9.1999366,47.6869037,3959,3843,7.17,4064428670,4.18,2017-05-19 18:28:34.000,"A",30,3,0,0.18,208.4,485.7,"gps","Felis catus","3381","20170519_Lissy","VTK2017 cats"
3110636019,true,2017-05-19 19:03:44.001,9.1999331,47.6869063,3959,3843,8.19,1726669405,4.06,2017-05-19 18:28:34.000,"A",30,3,0,0.4,215.61,485.3,"gps","Felis catus","3381","20170519_Lissy","VTK2017 cats"
3110636020,true,2017-05-19 19:03:45.001,9.1999264,47.6869068,3959,3847,8.96,3142374383,4.23,2017-05-19 18:28:34.000,"A",30,3,0,0.65,220.86,485.6,"gps","Felis catus","3381","20170519_Lissy","VTK2017 cats"
3110636021,true,2017-05-19 19:03:46.001,9.1999265,47.6869074,3959,3845,9.22,446847332,3.49,2017-05-19 18:28:34.000,"A",30,3,0,0.3,226.1,485.6,"gps","Felis catus","3381","20170519_Lissy","VTK2017 cats"
3110636022,true,2017-05-19 19:03:47.001,9.1999453,47.686902,3959,3845,8.7,3666067939,2.81,2017-05-19 18:28:34.000,"A",30,3,0,0.3,218.23,486.9,"gps","Felis catus","3381","20170519_Lissy","VTK2017 cats"
3110636023,true,2017-05-19 19:03:48.001,9.1999603,47.6868984,3959,3843,8.19,2209558186,2.88,2017-05-19 18:28:34.000,"A",30,3,0,0.05,222.17,487.9,"gps","Felis catus","3381","20170519_Lissy","VTK2017 cats"
3110636024,true,2017-05-19 19:03:49.001,9.1999654,47.6869007,3959,3845,8.45,3639709986,4.01,2017-05-19 18:28:34.000,"A",30,3,0,0.27,232.0,488.3,"gps","Felis catus","3381","20170519_Lissy","VTK2017 cats"
3110636025,true,2017-05-19 19:03:50.001,9.1999714,47.6869067,3959,3842,8.45,1972199043,4.79,2017-05-19 18:28:34.000,"A",30,3,0,0.67,239.86,489.8,"gps","Felis catus","3381","20170519_Lissy","VTK2017 cats"
3110636026,true,2017-05-19 19:03:51.001,9.1999782,47.6869018,3959,3847,8.45,1820275815,3.81,2017-05-19 18:28:34.000,"A",30,3,0,0.13,245.1,489.7,"gps","Felis catus","3381","20170519_Lissy","VTK2017 cats"
