event-id,visible,timestamp,location-long,location-lat,eobs:battery-voltage,eobs:fix-battery-voltage,eobs:horizontal-accuracy-estimate,eobs:key-bin-checksum,eobs:speed-accuracy-estimate,eobs:start-timestamp,eobs:status,eobs:temperature,eobs:type-of-fix,eobs:used-time-to-get-fix,ground-speed,heading,height-above-ellipsoid,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
3193831488,true,2017-05-23 15:54:00.000,8.8863119,47.6634595,3862,3784,3.84,,0.55,2017-05-23 15:24:49.000,"A",29,3,0,0.01,11.14,492.7,"gps","Felis catus","4084","20170523_Dudek","VTK2017 cats"
3193831489,true,2017-05-23 15:54:01.000,8.8863099,47.6634586,3862,3782,3.84,,0.56,2017-05-23 15:24:49.000,"A",29,3,0,0.01,11.14,492.7,"gps","Felis catus","4084","20170523_Dudek","VTK2017 cats"
3193831490,true,2017-05-23 15:54:02.000,8.8863077,47.6634577,3862,3784,3.84,,0.57,2017-05-23 15:24:49.000,"A",29,3,0,0.08,11.14,492.8,"gps","Felis catus","4084","20170523_Dudek","VTK2017 cats"
3193831491,true,2017-05-23 15:54:03.000,8.8863056,47.6634566,3862,3784,3.84,,0.56,2017-05-23 15:24:49.000,"A",29,3,0,0.05,10.49,492.9,"gps","Felis catus","4084","20170523_Dudek","VTK2017 cats"
3193831492,true,2017-05-23 15:54:04.000,8.8863038,47.663456,3862,3784,3.84,,0.55,2017-05-23 15:24:49.000,"A",29,3,0,0.04,9.18,493.0,"gps","Felis catus","4084","20170523_Dudek","VTK2017 cats"
3193831493,true,2017-05-23 15:54:05.000,8.8863015,47.6634556,3862,3784,3.84,,0.55,2017-05-23 15:24:49.000,"A",29,3,0,0.03,9.18,493.1,"gps","Felis catus","4084","20170523_Dudek","VTK2017 cats"
3193831494,true,2017-05-23 15:54:06.000,8.8862993,47.6634554,3862,3784,3.84,,0.56,2017-05-23 15:24:49.000,"A",29,3,0,0.02,9.83,493.3,"gps","Felis catus","4084","20170523_Dudek","VTK2017 cats"
3193831495,true,2017-05-23 15:54:07.000,8.8862971,47.6634549,3862,3781,3.84,,0.56,2017-05-23 15:24:49.000,"A",29,3,0,0.02,10.49,493.5,"gps","Felis catus","4084","20170523_Dudek","VTK2017 cats"
3193831496,true,2017-05-23 15:54:08.000,8.8862948,47.6634558,3862,3784,3.84,,0.52,2017-05-23 15:24:49.000,"A",29,3,0,0.05,9.18,493.4,"gps","Felis catus","4084","20170523_Dudek","VTK2017 cats"
3193831497,true,2017-05-23 15:54:09.000,8.8862931,47.6634562,3862,3782,3.84,,0.54,2017-05-23 15:24:49.000,"A",29,3,0,0.05,9.18,493.5,"gps","Felis catus","4084","20170523_Dudek","VTK2017 cats"
3193831498,true,2017-05-23 15:54:10.000,8.886292,47.6634561,3862,3782,3.84,,0.54,2017-05-23 15:24:49.000,"A",29,3,0,0.06,9.18,493.6,"gps","Felis catus","4084","20170523_Dudek","VTK2017 cats"
3193831499,true,2017-05-23 15:54:11.000,8.886291,47.663456,3862,3784,3.84,,0.56,2017-05-23 15:24:49.000,"A",29,3,0,0.08,8.52,493.7,"gps","Felis catus","4084","20170523_Dudek","VTK2017 cats"
3193831500,true,2017-05-23 15:54:12.000,8.8862898,47.6634551,3862,3784,3.84,,0.56,2017-05-23 15:24:49.000,"A",29,3,0,0.07,8.52,493.8,"gps","Felis catus","4084","20170523_Dudek","VTK2017 cats"
3193831501,true,2017-05-23 15:54:13.000,8.8862893,47.6634535,3862,3784,3.84,,0.55,2017-05-23 15:24:49.000,"A",29,3,0,0.08,7.86,494.1,"gps","Felis catus","4084","20170523_Dudek","VTK2017 cats"
3193831502,true,2017-05-23 15:54:14.000,8.8862886,47.6634521,3862,3780,3.84,,0.55,2017-05-23 15:24:49.000,"A",29,3,0,0.01,7.86,494.2,"gps","Felis catus","4084","20170523_Dudek","VTK2017 cats"
