event-id,visible,timestamp,location-long,location-lat,eobs:battery-voltage,eobs:fix-battery-voltage,eobs:horizontal-accuracy-estimate,eobs:key-bin-checksum,eobs:speed-accuracy-estimate,eobs:start-timestamp,eobs:status,eobs:temperature,eobs:type-of-fix,eobs:used-time-to-get-fix,ground-speed,heading,height-above-ellipsoid,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
3193781224,true,2017-05-29 16:14:55.999,9.199925,47.6862045,3935,3886,7.68,2814616522,3.71,2017-05-29 16:12:39.000,"A",24,3,0,0.14,18.35,514.3,"gps","Felis","4087","20170530_Lasse","VTK2017 cats"
3193781225,true,2017-05-29 16:14:56.999,9.1999202,47.6862085,3935,3886,7.42,1495622606,4.29,2017-05-29 16:12:39.000,"A",24,3,0,0.81,17.69,513.9,"gps","Felis","4087","20170530_Lasse","VTK2017 cats"
3193781226,true,2017-05-29 16:14:57.999,9.1999163,47.6862123,3935,3886,8.7,220409326,5.37,2017-05-29 16:12:39.000,"A",24,3,0,0.29,16.38,513.3,"gps","Felis","4087","20170530_Lasse","VTK2017 cats"
3193781227,true,2017-05-29 16:14:58.999,9.1999161,47.6862357,3935,3886,12.8,4074673950,5.3,2017-05-29 16:12:39.000,"A",24,3,0,0.79,15.73,509.8,"gps","Felis","4087","20170530_Lasse","VTK2017 cats"
3193781228,true,2017-05-29 16:14:59.999,9.1999199,47.6862338,3935,3886,7.17,1918180544,0.81,2017-05-29 16:12:39.000,"A",24,3,0,0.07,14.42,510.2,"gps","Felis","4087","20170530_Lasse","VTK2017 cats"
3193781229,true,2017-05-29 16:15:00.999,9.1999198,47.6862391,3935,3886,6.4,3907869229,0.79,2017-05-29 16:12:39.000,"A",24,3,0,0.02,12.45,509.3,"gps","Felis","4087","20170530_Lasse","VTK2017 cats"
3193781230,true,2017-05-29 16:15:01.999,9.1999162,47.6862451,3935,3886,6.14,583823477,1.43,2017-05-29 16:12:39.000,"A",24,3,0,0.02,11.8,508.4,"gps","Felis","4087","20170530_Lasse","VTK2017 cats"
3193781231,true,2017-05-29 16:15:02.999,9.1999124,47.6862496,3935,3886,5.89,2640483761,0.63,2017-05-29 16:12:39.000,"A",24,3,0,0.01,13.76,508.1,"gps","Felis","4087","20170530_Lasse","VTK2017 cats"
3193781232,true,2017-05-29 16:15:03.999,9.1999046,47.686257,3935,3886,5.38,1815799063,0.51,2017-05-29 16:12:39.000,"A",24,3,0,0.01,13.76,507.7,"gps","Felis","4087","20170530_Lasse","VTK2017 cats"
3193781233,true,2017-05-29 16:15:04.999,9.199905,47.6862583,3935,3887,5.12,3884218827,0.46,2017-05-29 16:12:39.000,"A",24,3,0,0.01,13.76,507.6,"gps","Felis","4087","20170530_Lasse","VTK2017 cats"
3193781234,true,2017-05-29 16:15:05.999,9.199905,47.6862586,3935,3886,4.86,3948923477,0.43,2017-05-29 16:12:39.000,"A",24,3,0,0.01,13.76,507.7,"gps","Felis","4087","20170530_Lasse","VTK2017 cats"
3193781235,true,2017-05-29 16:15:06.999,9.1998997,47.6862594,3935,3886,3.58,606003303,0.4,2017-05-29 16:12:39.000,"A",24,3,0,0.07,17.04,506.9,"gps","Felis","4087","20170530_Lasse","VTK2017 cats"
3193781236,true,2017-05-29 16:15:07.999,9.1998979,47.6862583,3935,3887,3.58,2095735939,0.32,2017-05-29 16:12:39.000,"A",24,3,0,0.01,19.01,506.8,"gps","Felis","4087","20170530_Lasse","VTK2017 cats"
3193781237,true,2017-05-29 16:15:08.999,9.1999003,47.6862563,3935,3887,3.07,3986483357,0.31,2017-05-29 16:12:39.000,"A",24,3,0,0.01,19.01,506.9,"gps","Felis","4087","20170530_Lasse","VTK2017 cats"
3193781238,true,2017-05-29 16:15:09.999,9.1999009,47.6862555,3935,3886,3.07,3713609475,0.3,2017-05-29 16:12:39.000,"A",24,3,0,0.0,19.01,507.0,"gps","Felis","4087","20170530_Lasse","VTK2017 cats"
3193781239,true,2017-05-29 16:15:10.999,9.1999008,47.6862547,3935,3886,2.82,778316359,0.32,2017-05-29 16:12:39.000,"A",24,3,0,0.0,19.01,507.0,"gps","Felis","4087","20170530_Lasse","VTK2017 cats"
3193781240,true,2017-05-29 16:15:11.999,9.1999,47.6862546,3935,3886,2.82,3539491115,0.31,2017-05-29 16:12:39.000,"A",24,3,0,0.01,17.69,506.9,"gps","Felis","4087","20170530_Lasse","VTK2017 cats"
