event-id,visible,timestamp,location-long,location-lat,eobs:battery-voltage,eobs:fix-battery-voltage,eobs:horizontal-accuracy-estimate,eobs:key-bin-checksum,eobs:speed-accuracy-estimate,eobs:start-timestamp,eobs:status,eobs:temperature,eobs:type-of-fix,eobs:used-time-to-get-fix,ground-speed,heading,height-above-ellipsoid,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
3058386467,true,2017-05-13 17:51:01.000,,,4072,4013,,3945745985,,2017-05-13 17:51:01.000,"D",27,0,150,,,,"gps","Felis catus","4084","201710513_Baghira","VTK2017 cats"
3058386468,true,2017-05-13 17:54:01.000,,,4062,4008,,848163031,,2017-05-13 17:54:01.000,"D",27,0,150,,,,"gps","Felis catus","4084","201710513_Baghira","VTK2017 cats"
3058386469,true,2017-05-13 17:57:01.000,,,4055,3999,,1549960967,,2017-05-13 17:57:01.000,"D",27,0,150,,,,"gps","Felis catus","4084","201710513_Baghira","VTK2017 cats"
3058386472,true,2017-05-13 17:58:16.001,9.1604324,47.6672417,4040,3989,22.53,1926931968,3.82,2017-05-13 17:56:29.000,"A",27,3,0,0.41,235.93,455.6,"gps","Felis catus","4084","201710513_Baghira","VTK2017 cats"
3058386473,true,2017-05-13 17:58:17.001,9.1604274,47.6672349,4040,3984,20.22,1934558341,8.41,2017-05-13 17:56:29.000,"A",27,3,0,0.64,230.69,455.4,"gps","Felis catus","4084","201710513_Baghira","VTK2017 cats"
3058386474,true,2017-05-13 17:58:18.001,9.1604151,47.6672245,4040,3986,33.79,3091734486,7.62,2017-05-13 17:56:29.000,"A",27,3,0,0.74,228.72,454.9,"gps","Felis catus","4084","201710513_Baghira","VTK2017 cats"
3058386475,true,2017-05-13 17:58:19.001,9.1603948,47.6672086,4040,3989,42.5,3777015412,8.25,2017-05-13 17:56:29.000,"A",27,3,0,1.53,227.41,454.5,"gps","Felis catus","4084","201710513_Baghira","VTK2017 cats"
3058386476,true,2017-05-13 17:58:20.001,9.1603755,47.6672077,4040,3989,41.47,3430650418,7.83,2017-05-13 17:56:29.000,"A",27,3,0,1.25,254.28,454.2,"gps","Felis catus","4084","201710513_Baghira","VTK2017 cats"
3058386477,true,2017-05-13 17:58:21.001,9.1603624,47.6672038,4040,3989,42.75,4279607278,6.54,2017-05-13 17:56:29.000,"A",27,3,0,1.0,254.28,453.8,"gps","Felis catus","4084","201710513_Baghira","VTK2017 cats"
3058386478,true,2017-05-13 17:58:22.001,9.160355,47.6672067,4040,3989,34.82,2283103906,5.61,2017-05-13 17:56:29.000,"A",27,3,0,0.36,256.9,453.0,"gps","Felis catus","4084","201710513_Baghira","VTK2017 cats"
3058386479,true,2017-05-13 17:58:23.001,9.1603515,47.6671945,4040,3989,23.55,1288520570,6.21,2017-05-13 17:56:29.000,"A",27,3,0,0.24,255.59,452.4,"gps","Felis catus","4084","201710513_Baghira","VTK2017 cats"
3058386480,true,2017-05-13 17:58:24.001,9.1603292,47.6671733,4040,3989,23.55,3766803586,6.31,2017-05-13 17:56:29.000,"A",27,3,0,0.61,252.97,452.9,"gps","Felis catus","4084","201710513_Baghira","VTK2017 cats"
3058386481,true,2017-05-13 17:58:25.001,9.1603293,47.6672019,4040,3989,16.38,3242156352,6.22,2017-05-13 17:56:29.000,"A",27,3,0,0.31,252.97,451.3,"gps","Felis catus","4084","201710513_Baghira","VTK2017 cats"
3058386482,true,2017-05-13 17:58:26.001,9.1603115,47.6671978,4040,3989,16.38,243365642,6.15,2017-05-13 17:56:29.000,"A",27,3,0,0.9,252.97,451.0,"gps","Felis catus","4084","201710513_Baghira","VTK2017 cats"
3058386483,true,2017-05-13 17:58:27.001,9.1603451,47.667225,4040,3989,13.82,1571405235,6.1,2017-05-13 17:56:29.000,"A",27,3,0,0.68,260.18,461.5,"gps","Felis catus","4084","201710513_Baghira","VTK2017 cats"
3058386484,true,2017-05-13 17:58:28.001,9.1603479,47.6672324,4040,3989,20.48,3406376730,8.16,2017-05-13 17:56:29.000,"A",27,3,0,0.69,267.39,461.7,"gps","Felis catus","4084","201710513_Baghira","VTK2017 cats"
